endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
rec,rf,temporal+pathological,2,0.7626363057153405,0.046169591120034714,0.6766431042928739,0.07145146700064466,0.785140562248996,0.04081194179948651,0.418,5
rec,rf,temporal+spatial,2,0.6883819043930128,0.03882214984853549,0.5436444763633703,0.10538567140573812,0.725588066551922,0.04168331465221887,0.324,5
rec,rf,semantic+temporal,2,0.6790227673745917,0.022300013769530846,0.5336925320796289,0.08133551964851908,0.7160355708548479,0.04119718010646552,0.33399999999999996,5
rec,rf,semantic+spatial,2,0.6613708751814521,0.011149926984872037,0.528522552716101,0.059981775232635995,0.7398450946643718,0.02143041463754021,0.34199999999999997,5
rec,rf,clinical,1,0.9829774722769982,0.018498093081044435,0.9957372717741382,0.005464478341667221,0.9832472748135398,0.018168620583772322,0.48200000000000004,5
rec,rf,pathological,1,0.7665322505637101,0.03509867079107894,0.6815269216190875,0.06815879153463515,0.7923694779116466,0.0320930529756225,0.4720000000000001,5
rec,rf,temporal,1,0.6863409527387085,0.030274436343147696,0.5751657456726582,0.050175963198536684,0.7208261617900172,0.029182912291673815,0.43,5
rec,rf,spatial,1,0.6824923260919104,0.016195734611163623,0.481345604387079,0.03571430641110506,0.737492828456684,0.01401679929892756,0.322,5
rec,rf,semantic,1,0.6609405205057955,0.023073013449409256,0.5040479958682724,0.07122703208155033,0.7208261617900172,0.03369108312063696,0.33599999999999997,5
rec,voting,clinical+semantic+temporal+pathological+spatial,5,0.9829774722769982,0.018498093081044435,0.9959093901490215,0.004351490051734526,0.9832472748135398,0.018168620583772322,0.47800000000000004,5
rec,voting,clinical+semantic+pathological+spatial,4,0.9829774722769982,0.018498093081044435,0.9960490354499572,0.0047086126526980415,0.9832472748135398,0.018168620583772322,0.47400000000000003,5
rec,voting,clinical+semantic+temporal+pathological,4,0.9829774722769982,0.018498093081044435,0.996056017715004,0.004381635152124761,0.9832472748135398,0.018168620583772322,0.45999999999999996,5
rec,voting,clinical+semantic+temporal+spatial,4,0.9829774722769982,0.018498093081044435,0.9954415783908871,0.00551048524363931,0.9832472748135398,0.018168620583772322,0.496,5
rec,voting,clinical+temporal+pathological+spatial,4,0.9829774722769982,0.018498093081044435,0.9957487980529456,0.004930534201237679,0.9832472748135398,0.018168620583772322,0.48600000000000004,5
rec,voting,semantic+temporal+pathological+spatial,4,0.7754928978443146,0.03349002711290755,0.697990548451378,0.07527208627371577,0.7947791164658635,0.019165444680022663,0.328,5
rec,voting,clinical+pathological+spatial,3,0.9829774722769982,0.018498093081044435,0.995895425618928,0.004990094393375628,0.9832472748135398,0.018168620583772322,0.48200000000000004,5
rec,voting,clinical+semantic+pathological,3,0.9829774722769982,0.018498093081044435,0.995895425618928,0.004990094393375628,0.9832472748135398,0.018168620583772322,0.45999999999999996,5
rec,voting,clinical+semantic+spatial,3,0.9829774722769982,0.018498093081044435,0.9952858627973835,0.005773490916824047,0.9832472748135398,0.018168620583772322,0.488,5
rec,voting,clinical+semantic+temporal,3,0.9829774722769982,0.018498093081044435,0.9951392352314011,0.005702532423347945,0.9832472748135398,0.018168620583772322,0.458,5
rec,voting,clinical+temporal+pathological,3,0.9829774722769982,0.018498093081044435,0.9959024078839747,0.004651501602387196,0.9832472748135398,0.018168620583772322,0.46799999999999997,5
rec,voting,clinical+temporal+spatial,3,0.9829774722769982,0.018498093081044435,0.9952904068111442,0.00559713298012841,0.9832472748135398,0.018168620583772322,0.4720000000000001,5
rec,voting,temporal+pathological+spatial,3,0.7763151942995823,0.037365519058313576,0.6869492599907346,0.07724250334577897,0.7947791164658635,0.04053177116614372,0.344,5
rec,voting,semantic+pathological+spatial,3,0.7757649979538496,0.040905261459147996,0.6908317318455567,0.063220090339279,0.794750430292599,0.025775687987040136,0.302,5
rec,voting,semantic+temporal+pathological,3,0.7602949668434412,0.05867262509549663,0.6662663501373178,0.08368403360063073,0.7875215146299483,0.04033004596164847,0.402,5
rec,voting,semantic+temporal+spatial,3,0.6736612635751553,0.013498130443085057,0.5318962058593395,0.040570469056220894,0.7041881812966151,0.03789624265450049,0.258,5
rec,voting,clinical+pathological,2,0.9829774722769982,0.018498093081044435,0.9962026452809862,0.004435874657086878,0.9832472748135398,0.018168620583772322,0.47000000000000003,5
rec,voting,clinical+semantic,2,0.9829774722769982,0.018498093081044435,0.9955882059568696,0.00557395186055324,0.9832472748135398,0.018168620583772322,0.48200000000000004,5
rec,voting,clinical+spatial,2,0.9829774722769982,0.018498093081044435,0.9957442540391849,0.005102451767310975,0.9832472748135398,0.018168620583772322,0.49400000000000005,5
rec,voting,clinical+temporal,2,0.9829774722769982,0.018498093081044435,0.9955882059568696,0.00557395186055324,0.9832472748135398,0.018168620583772322,0.442,5
rec,voting,pathological+spatial,2,0.7831778347855198,0.03508401894736734,0.7028039889791041,0.05910511753883541,0.7971313826735513,0.03037088901488211,0.312,5
rec,voting,semantic+pathological,2,0.7577163088326454,0.04208998572724672,0.6741504356711729,0.0740364143585682,0.792340791738382,0.031213337997450116,0.43400000000000005,5
rec,voting,temporal+pathological,2,0.7385943737248053,0.03295689915673404,0.6517922255249444,0.06493304467990205,0.7659495123350546,0.05138583690853108,0.47800000000000004,5
rec,voting,temporal+spatial,2,0.6887923936842733,0.03859829329162753,0.5677983477522648,0.0745098169825954,0.7279116465863453,0.010262075046806306,0.286,5
rec,voting,semantic+temporal,2,0.6867817807937557,0.025867108913819287,0.513519438404231,0.06242497103437577,0.71368330464716,0.03972211608281348,0.276,5
rec,voting,semantic+spatial,2,0.6728533409435534,0.021147766824789985,0.5298975047822975,0.044422034900324904,0.7230063109581182,0.04538260046323397,0.292,5
rec,voting,clinical,1,0.9829774722769982,0.018498093081044435,0.995734833522852,0.005655742877661752,0.9832472748135398,0.018168620583772322,0.45,5
rec,voting,pathological,1,0.7448953628274038,0.030685343701737183,0.6599189170617742,0.06079429451510695,0.763625932300631,0.03794376752720945,0.42400000000000004,5
rec,voting,spatial,1,0.6847276734975825,0.021089075729078192,0.5429098977486074,0.032332633561682714,0.7232358003442341,0.049553091370832456,0.27599999999999997,5
rec,voting,temporal,1,0.6728335323986825,0.012880419165983344,0.5674987753328767,0.03541680102264226,0.7041308089500861,0.029982437813288118,0.4,5
rec,voting,semantic,1,0.6684460794884282,0.024031854743429483,0.459454928924975,0.04444240441628736,0.7351405622489959,0.04602472789183024,0.302,5
rec,xgb,clinical+semantic+temporal+pathological+spatial,5,0.9853705039904959,0.016071425088354466,0.9931213606328815,0.01090286103200447,0.9856282271944922,0.01567089701981491,0.35600000000000004,5
rec,xgb,clinical+semantic+pathological+spatial,4,0.9853705039904959,0.016071425088354466,0.9931213606328815,0.01090286103200447,0.9856282271944922,0.01567089701981491,0.35600000000000004,5
rec,xgb,clinical+temporal+pathological+spatial,4,0.9853705039904959,0.016071425088354466,0.9929677508018522,0.011228630096089081,0.9856282271944922,0.01567089701981491,0.35,5
rec,xgb,clinical+semantic+temporal+pathological,4,0.9830124103185158,0.0185101223951854,0.9935870666285412,0.009406691862711558,0.9832472748135398,0.018168620583772322,0.338,5
