endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,et,clinical+semantic+pathological,clinical+semantic+pathological,3,1,0.23,0.9523809523809524,0.9924414210128496,0.9523809523809524,335,84
rec,lgbm,clinical+semantic+pathological,clinical+semantic+pathological,3,1,0.17,0.9639907816401,0.9879062736205592,0.9642857142857144,335,84
rec,rf,clinical+semantic+pathological,clinical+semantic+pathological,3,1,0.66,0.9633273703041146,0.9909297052154196,0.9642857142857144,335,84
rec,voting,clinical+semantic+pathological,clinical+semantic+pathological,3,1,0.48,0.9639907816401,0.9931972789115646,0.9642857142857144,335,84
rec,xgb,clinical+semantic+pathological,clinical+semantic+pathological,3,1,0.52,0.9639907816401,0.9901738473167044,0.9642857142857144,335,84
rec,et,clinical+semantic+pathological,clinical+semantic+pathological,3,2,0.35,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+pathological,clinical+semantic+pathological,3,2,0.03,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+pathological,clinical+semantic+pathological,3,2,0.31,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+pathological,clinical+semantic+pathological,3,2,0.21,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+pathological,clinical+semantic+pathological,3,2,0.26,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+pathological,clinical+semantic+pathological,3,3,0.33,0.9761904761904762,0.9941348973607038,0.9761904761904762,335,84
rec,lgbm,clinical+semantic+pathological,clinical+semantic+pathological,3,3,0.6,0.9880044296788482,0.999266862170088,0.988095238095238,335,84
rec,rf,clinical+semantic+pathological,clinical+semantic+pathological,3,3,0.63,0.9880044296788482,0.998533724340176,0.988095238095238,335,84
rec,voting,clinical+semantic+pathological,clinical+semantic+pathological,3,3,0.67,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,xgb,clinical+semantic+pathological,clinical+semantic+pathological,3,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+semantic+pathological,clinical+semantic+pathological,3,4,0.49,0.9635592124595944,0.9900153609831028,0.963855421686747,336,83
rec,lgbm,clinical+semantic+pathological,clinical+semantic+pathological,3,4,0.8400000000000001,0.9509848919487474,0.9831029185867894,0.9518072289156626,336,83
rec,rf,clinical+semantic+pathological,clinical+semantic+pathological,3,4,0.5700000000000001,0.9635592124595944,0.9907834101382488,0.963855421686747,336,83
rec,voting,clinical+semantic+pathological,clinical+semantic+pathological,3,4,0.81,0.9628921500660425,0.988479262672811,0.963855421686747,336,83
rec,xgb,clinical+semantic+pathological,clinical+semantic+pathological,3,4,0.8200000000000001,0.9628921500660425,0.978494623655914,0.963855421686747,336,83
